Step	DeathCause	Age	Speed	Sight	ReproductiveUrge	LifeSpan	Charm	PregnancyDuration	Status	Starving	Drying
23	THIRST	4,504999	6,417473	42	38	5,161067	63	50	SEARCHINGDRINK	18	32
23	HUNGER	2,004999	9,05197	47	36	5,313353	42	34	MOVING	17	33
23	THIRST	4,504999	6,361084	44	43	5,458112	66	54	SEARCHINGDRINK	19	31
23	HUNGER	2,004999	5,819986	50	43	4,945862	28	44	SEARCHINGFOOD	17	28
23	HUNGER	2,004999	5,98208	53	39	4,516089	29	42	SEARCHINGFOOD	16	28
23	HUNGER	2,004999	5,164384	54	43	4,513837	32	44	SEARCHINGFOOD	16	28
23	HUNGER	2,004999	9,09421	54	34	5,492724	43	39	SEARCHINGFOOD	19	29
23	HUNGER	2,004999	5,725493	50	45	4,552161	29	39	SEARCHINGFOOD	18	29
23	HUNGER	2,004999	5,851444	46	44	4,19133	32	44	SEARCHINGFOOD	19	29
23	HUNGER	2,004999	5,552619	51	41	4,585677	31	44	SEARCHINGFOOD	18	27
23	HUNGER	2,004999	5,50486	48	44	4,797311	32	44	SEARCHINGFOOD	17	28
23	HUNGER	2,004999	5,835875	45	42	4,71007	31	39	SEARCHINGFOOD	17	26
23	HUNGER	4,004999	9,874676	46	40	4,997552	48	45	MOVING	21	26
23	HUNGER	2,004999	9,586719	42	28	5,075676	43	47	SEARCHINGFOOD	17	30
23	HUNGER	2,004999	10,14884	40	30	5,40292	44	44	SEARCHINGFOOD	19	35
23	HUNGER	2,004999	9,738047	43	30	5,891852	39	49	SEARCHINGFOOD	17	35
23	HUNGER	2,004999	10,23188	42	27	5,368286	42	46	SEARCHINGFOOD	18	33
23	HUNGER	2,004999	9,52103	38	29	5,354542	44	42	SEARCHINGFOOD	16	34
23	DROWN	1,504999	5,040753	42	30	4,586541	70	55	SEARCHINGFOOD	16	28
23	HUNGER	4,504999	5,401756	40	44	4,539418	50	45	SEARCHINGDRINK	17	35
23	HUNGER	4,504999	9,173427	54	47	6,070371	69	52	SEARCHINGFOOD	18	28
23	THIRST	4,504999	5,54012	41	47	4,855802	52	49	SEARCHINGDRINK	18	32
23	HUNGER	3,504999	8,630278	61	37	4,454076	46	35	SEARCHINGFOOD	14	31
23	AGE	4,504999	6,088055	47	32	4,123004	92	49	SEARCHINGDRINK	16	25
23	AGE	4,504999	6,221369	49	35	4,324539	83	47	MOVING	16	26
23	AGE	4,504999	5,695572	45	33	4,247577	87	44	RESTING	15	25
23	AGE	4,504999	5,643373	48	38	4,016388	77	47	DRINKING	15	24
24	AGE	4,504999	6,127464	66	45	4,076978	43	36	EATING	16	31
24	AGE	4,504999	7,077768	70	42	4,296371	43	34	MOVING	15	31
24	HUNGER	3,004999	4,62534	63	50	5,497421	45	43	SEARCHINGFOOD	16	31
24	THIRST	4,504999	7,985258	63	37	5,292325	63	44	SEARCHINGDRINK	21	32
24	THIRST	4,504999	8,586751	53	32	5,704971	66	48	SEARCHINGDRINK	19	33
24	THIRST	4,504999	6,584421	54	34	5,120764	43	41	SEARCHINGDRINK	18	27
24	THIRST	4,504999	7,306352	44	33	4,788743	51	60	SEARCHINGDRINK	20	30
24	HUNGER	4,004999	5,95084	44	31	5,390327	92	47	SEARCHINGFOOD	20	28
24	AGE	5,004999	5,406098	35	47	4,605007	51	48	SEARCHINGMATE	18	36
24	THIRST	4,504999	8,095176	55	48	5,512851	70	47	SEARCHINGDRINK	19	27
24	THIRST	4,504999	9,731786	59	43	5,369065	65	51	MOVING	20	31
24	THIRST	4,504999	9,196668	58	42	5,571361	77	45	SEARCHINGDRINK	20	31
24	HUNGER	2,004999	7,524739	58	36	5,204057	54	44	SEARCHINGFOOD	23	31
24	HUNGER	2,004999	7,153625	55	36	5,645083	52	38	MOVING	19	34
24	HUNGER	2,004999	7,470091	53	38	4,773234	52	41	SEARCHINGFOOD	19	33
24	HUNGER	2,004999	6,226182	59	37	5,273278	55	44	SEARCHINGFOOD	19	34
24	HUNGER	2,004999	6,385615	49	38	5,656902	50	39	SEARCHINGFOOD	23	36
24	AGE	5,004999	8,194862	59	35	4,855477	53	36	SEARCHINGMATE	16	33
24	AGE	5,004999	9,343052	59	39	4,557739	52	40	SEARCHINGMATE	17	31
25	AGE	5,004999	8,622912	61	33	4,679739	49	38	SEARCHINGMATE	16	31
25	HUNGER	3,504999	3,353052	48	42	6,592197	55	32	RESTING	22	26
25	AGE	5,004999	6,197628	55	38	4,939712	44	47	SEARCHINGFOOD	16	27
